date,description,amount,type
2025-03-01,SALARY CREDIT,120000,credit
2025-03-01,ZERODHA SIP,15000,debit
2025-03-02,METRO CARD RECHARGE,800,debit
2025-03-02,BIGBASKET ORDER,1800,debit
2025-03-03,DMART GROCERIES,2200,debit
2025-03-04,UBER RIDE,240,debit
2025-03-05,NETFLIX SUBSCRIPTION,499,debit
2025-03-06,RENT PAYMENT,28000,debit
2025-03-07,ELECTRICITY BILL,2100,debit
2025-03-08,ZOMATO ORDER,420,debit
2025-03-09,AMAZON ESSENTIALS,1200,debit
2025-03-10,GYM MEMBERSHIP,1200,debit
2025-03-11,MUTUAL FUND SIP GROWW,8000,debit
2025-03-12,METRO CARD RECHARGE,800,debit
2025-03-13,BIGBASKET ORDER,1650,debit
2025-03-14,SWIGGY ORDER,380,debit
2025-03-15,ZEPTO GROCERIES,550,debit
2025-03-16,UBER RIDE,280,debit
2025-03-17,BOOKMYSHOW TICKETS,450,debit
2025-03-18,APOLLO PHARMACY,380,debit
2025-03-19,DMART GROCERIES,1900,debit
2025-03-20,FLIPKART ORDER,1600,debit
2025-03-21,METRO CARD RECHARGE,800,debit
2025-03-22,ZOMATO ORDER,510,debit
2025-03-23,BIGBASKET ORDER,2100,debit
2025-03-24,RAPIDO RIDE,90,debit
2025-03-25,PPF CONTRIBUTION,5000,debit
2025-03-26,UBER RIDE,310,debit
2025-03-27,SWIGGY ORDER,290,debit
2025-03-28,AMAZON ESSENTIALS,900,debit
2025-03-29,BLINKIT ORDER,420,debit
2025-03-30,DMART GROCERIES,1750,debit
2025-03-31,E COMM BROADBAND,899,debit
2025-04-01,SALARY CREDIT,120000,credit
2025-04-01,ZERODHA SIP,15000,debit
2025-04-01,METRO CARD RECHARGE,800,debit
2025-04-02,BIGBASKET ORDER,1950,debit
2025-04-03,DMART GROCERIES,2050,debit
2025-04-04,RENT PAYMENT,28000,debit
2025-04-05,NETFLIX SUBSCRIPTION,499,debit
2025-04-06,UBER RIDE,260,debit
2025-04-07,ZOMATO ORDER,480,debit
2025-04-08,GYM MEMBERSHIP,1200,debit
2025-04-09,MUTUAL FUND SIP GROWW,8000,debit
2025-04-10,AMAZON ESSENTIALS,1400,debit
2025-04-11,METRO CARD RECHARGE,800,debit
2025-04-12,SWIGGY ORDER,340,debit
2025-04-13,ZEPTO GROCERIES,620,debit
2025-04-14,ELECTRICITY BILL,2050,debit
2025-04-15,BIGBASKET ORDER,2200,debit
2025-04-16,UBER RIDE,290,debit
2025-04-17,DMART GROCERIES,1880,debit
2025-04-18,FLIPKART ORDER,2100,debit
2025-04-19,ZOMATO ORDER,395,debit
2025-04-20,RAPIDO RIDE,85,debit
2025-04-21,APOLLO PHARMACY,290,debit
2025-04-22,BIGBASKET ORDER,1780,debit
2025-04-23,METRO CARD RECHARGE,800,debit
2025-04-24,SWIGGY ORDER,410,debit
2025-04-25,PPF CONTRIBUTION,5000,debit
2025-04-26,AMAZON ESSENTIALS,1100,debit
2025-04-27,UBER RIDE,320,debit
2025-04-28,DMART GROCERIES,1920,debit
2025-04-29,BLINKIT ORDER,480,debit
2025-04-30,ZOMATO ORDER,520,debit
2025-05-01,SALARY CREDIT,120000,credit
2025-05-01,ZERODHA SIP,15000,debit
2025-05-01,RENT PAYMENT,28000,debit
2025-05-02,METRO CARD RECHARGE,800,debit
2025-05-02,NETFLIX SUBSCRIPTION,499,debit
2025-05-03,BIGBASKET ORDER,2000,debit
2025-05-04,DMART GROCERIES,2100,debit
2025-05-05,UBER RIDE,270,debit
2025-05-06,SWIGGY ORDER,360,debit
2025-05-07,GYM MEMBERSHIP,1200,debit
2025-05-08,MUTUAL FUND SIP GROWW,8000,debit
2025-05-08,AMAZON ESSENTIALS,1350,debit
2025-05-09,ZEPTO GROCERIES,590,debit
2025-05-10,ZOMATO ORDER,445,debit
